query,classlabel
Bug NullPointerException AbstractJavaLaunchConfigurationDelegate getDefaultWorkingDirectory AbstractJavaLaunchConfigurationDelegate java Pointer Exception Java Launch Configuration Delegate Working Directory Java Launch Configuration Delegate,good
Bug TimeoutException debugging org eclipse tests Timeout Exception,bad
Bug clear work stack trace console,good
Bug update JRE javadoc links Sun Oracle,good
Bug Invalid code stepping junit code,bad
Bug Auto detect Install required,good
Bug Unable change source attachment JRE jar,bad
Bug JDIDebugTarget handleDebugEvents getAdapter identifying event source JDIDebug Target handle Debug Events Adapter,good
Bug Installed JREs preference layout problems,good
Bug Evaluate action enabled java stack frames,good
Bug ClasspathContainerInitializer API JRE Classpath Container Initializer,good
Bug Missing Java project context stratum breakpoints,good
Bug ClassCastException evaluating assigment array interfaces Exception,bad
Bug Console buffer size limit,bad
Bug NPE adding breakpoint external Java file,bad
Bug Creating image descriptor registry shutdown,good
Bug NullPointerException JavaAppletLaunchConfigurationDelegate buildHTMLFile Pointer Exception Java Applet Launch Configuration Delegate build HTMLFile,good
Bug DisplayView registers document listener removes Display View,good
Bug deprecated API SearchEngine Search Engine,good
Bug Detail Formatters pref,good
Bug arguments backslash problems,bad
Bug Resume fails suspend breakpoint stepping BUG,bad
Bug Java Debug Logical Structure pref wrong colors,good
Bug ArrayIndexOutOfBoundsException debugging Array Bounds Exception,bad
Bug NPE setting breakpoint,bad
Bug Classpath tab Java application wrong colors,bad
Bug Java Classpath tab huge,good
Bug Step Selection hyperlink broken,good
Bug View management respect debug context manager,bad
Bug Internal error stepping,bad
Bug Display,bad
Bug Conflits JRE solved correctly,bad
Bug viewers selection lost launch view stepping sync block,bad
Bug Open popup suspended exception doesn work,good
Bug Unable install breakpoint,bad
Bug NPE adding variable view,bad
Bug resume single thread suspended,good
Bug Drop Frame updating stack frames correctly,good
Bug variables views Edit details formatter menu array types,good
Bug Link exception console,good
Bug Unhandled NPE HCR manager,good
Bug debugger determineIfDaemon exception determine Daemon,good
Bug NPE JavaConnectTab Java Connect Tab,good
Bug Compilation error breakpoints showing breakpoints view,bad
Bug breakpoint mode check debug model specific,good
Bug Preference suspending breakpoint,bad
Bug StringIndexOutOfBoundsException BinaryBasedSourceGenerator getReturnStatement BinaryBasedSourceGenerator java String Bounds Exception Binary Based Source Generator Statement Binary Based Source Generator,good
Bug NPE JDIDebugTarget ThreadStartHandler handleEvent JDIDebug Target Thread Start Handler handle Event,good
Bug unable create method breakpoints external source,bad
Bug Display Content Assist work consistently Variables View,good
Bug Java snippet navigate actions work keybindings,good
Bug Fixed bug launchingsupport jar compatible JRE recognized latest builds,bad
Bug API Move selected structure API Debug,good
Bug JavaRuntime detectDefaultVM options Java Runtime detect,good
Bug resolve compatibility issues Eclipse constant internals JDT,good
Bug NPE evaluating context,bad
Bug Marker clicking ruler,bad
Bug setting classpath work,bad
Bug Unable evaluation context Scrapbook,good
Bug ActionSets classpath Toolbar shudders opening Classpath Variables preference Action Sets,bad
Bug Workspace runnable correctly,bad
Bug Exception hyperlink conflicts stack trace,bad
Bug JRE location wrong installing description file,bad
Bug Mac OSX JDT launching plugin check locations Snow Leopard Lion,good
Bug Conditions work JSP breakpoints,bad
Bug Minor caught uncaught enabled single selection,good
Bug Failing HCR test Mac Cocoa,good
Bug breakpoints external source,bad
Bug Unable add libraries Java build path Project preferences,good
Bug NPE debugging,bad
Bug NPE opening Configuration Dialog linux gtk,bad
Bug Monitor stack depth read JDWP interchanged,good
Bug Java Launch Configs DELETE key event lists classpath tab,bad
Bug VMDisconnectedException logged source lookup VMDisconnected Exception,bad
Bug Eclipse aware launched JVM JRockit,bad
Bug HCR failed message terminated,good
Bug Strange Code ExpressionInputDialog dispose Expression Input Dialog,good
Bug change background color Display view,good
Bug UnsupportedOperationException Unsupported Operation Exception,bad
Bug ClassNotLoaded JDI exception conditional breakpoint Loaded,bad
Bug CME Running test suite,bad
Bug Contribute remote Ant support extraClasspathEntry extra Classpath Entry,bad
Bug variables view click variable produces ClassNotLoadedErrors Loaded Errors,bad
Bug source lookup Stack Frame CHANGE events longer force source lookup,bad
Bug safe runnables listeners untrusted code,good
Bug JRE libraries don work running application,bad
Bug Pattern Matching independent IOConsole IOConsolePartitioner IOConsole Partitioner,bad
Bug Scrapbook evaluations fail pre projects,bad
Bug Debbugger Source Lookup work variables,bad
Bug nightly test failures empty stack exception eval engine,bad
Bug patch launching Debug honors JRE args Launcher args,good
Bug java lang ArrayIndexOutOfBoundsException ConsoleDocumentAdapter Array Bounds Exception Console Document Adapter,bad
Bug Evaluation stacktrace exception,good
Bug NPE variable substitution,bad
Bug Add JRE fails retain system library modifications,bad
Bug PList parser test failures tests,good
Bug preferences Java Debug preference validates uninitialized fields,bad
Bug full breakpoints hit thread,bad
Bug Content assist work breakpoint properties,bad
Bug scrapbook suspends uncaught exceptions,good
Bug Loss member details text Breakpoints,good
Bug Don prompt main main selected,bad
Bug JDI test suite work Mac OSX,bad
Bug busy cursor choosing JRE base directory,bad
Bug NFE crash debugging,bad
Bug changing arg scrapbook properties restart,good
Bug NPE invoking content assist view,good
Bug Bootpath incorrect project,good
Bug jre JRE System Library properly Java update symbolic links,good
Bug debugging extremally slow latest,bad
Bug Missing wizard banner library container,bad
Bug refactoring Mysterious refactoring failure caused tests fail,good
Bug Numerous fixes Instances References features,good
Bug ArrayOutOfBoundsException debug event dispatch Array Bounds Exception,bad
Bug Organize Favorites dialog remember size,good
Bug Migrate compilation error uncaught exception handling breakpoint listener extension,good
Bug Invalid Thread Access launching,bad
Bug VMDisconnectedExceptions log VMDisconnected Exceptions,good
Bug rebuild returns,bad
Bug failing tests candidate caused ConditionalBreakpointsWithGenerics testBreakpointWithGenericCondition Conditional Breakpoints Generics test Breakpoint Condition,good
Bug append jar bootpath,good
Bug suspended thread evaluating condition labels,good
Bug setter getter step filter test failures Mac,bad
Bug Performance performance eclipse severely degrades time,bad
Bug Conditional breakpoint compilation problem dialog usability,good
Bug Exception breakpoints persisted,bad
Bug NPE debug,bad
Bug Breakpoint hit count widget focus enabled,good
Bug Variable hover incorrect members type object,good
Bug NPE disabling breakpoint,bad
Bug breakpoint properties dialog problems target,bad
Bug User entries classpath top element displayed empty,good
Bug Edit Remove buttons incorrectly enabled,good
Bug test failure Mac,bad
Bug debug deprecated runtime code,bad
Bug Array bounds HCR,bad
Bug Error adding JRE Windows Preferences Java Installed JREs settings,bad
Bug performance conditional breakpoint performance test failure,good
Bug HeapWalking manager support debug targets provide IJavaDebugTarget adapter Heap Walking IJava Debug Target,good
Bug JRE classpath,bad
Bug SISPSIE JavaDebugHover findLocalVariable Java Debug Hover find Local Variable,bad
Bug Javadoc location initial,good
Bug launching context launching resource based objects,bad
Bug Inspect doesn work Display View,good
Bug Failing importbreakpoints tests,bad
Bug Exception renaming project shared config,good
Bug Searching installed JREs broken,good
Bug Debug Breakpoint actions remote stuff,good
Bug Incorrect error reporting AbstractJavaLaunchConfigurationDelegate Java Launch Configuration Delegate,good
Bug Filtering statics filters constants,good
Bug Hit count breakpoints,bad
Bug working directory args Ant processes,bad
Bug NPE AbstractVMInstallType findVMInstallByName VMInstall Type find VMInstall,good
Bug debug context thread,bad
Bug JREContainer RuleEntry equals returns early Rule Entry,good
Bug NPE suspending attempting step system thread,good
Bug EEVMPage creates file times selecting file,good
Bug unable add JDK Installed JRE Preferences,good
Bug NPE JavaLogicalStructures Java Logical Structures,good
Bug Launching failing missing optional project,good
Bug naming prompt JRE resolution,bad
Bug NLS ing internal error messages,good
Bug Installed JRE Source attachment existing location,bad
Bug conditional breakpoint step,good
Bug Race condition AbstractVMInstallType createVMInstall VMInstall Type create VMInstall,good
Bug Display evaluates incorrectly,bad
Bug NPE ctrl dbl click JavaDetailFormattersPreferencePage Java Detail Formatters Preference,good
Bug Missing icons launch config creation tabs,bad
Bug Breakpoints breakpoint working,bad
Bug breakpoints Alt Enter java breakpoint properties command exceptions,bad
Bug Prevent breakpoint detail panes changing background colour selection,good
Bug ClassCastException JavaApplicationLaunchShortcut findTypes Exception Java Application Launch Shortcut find Types,good
Bug Timeout exception exiting program caused block,bad
Bug toString add format template String,good
Bug JUnit test failures AddUnimplementedMethodsTest Add Unimplemented Methods Test,good
Bug implementation Don swallow IllegalStateException ASTprovider Illegal Exception,bad
Bug organize imports Add add compliance,bad
Bug quick assist nls tooling IAE Create field quick assist properties editor,bad
Bug Java project wizard nesting workspace,good
Bug hovering JavaDoc Navigation broken spaces URL Java Doc,bad
Bug RenameTypePerfAcceptanceTests testCold fails Rename Type Perf Acceptance Tests test Cold,bad
Bug JUnit Opening test classes JUnit view leads Method Opening test warning,bad
Bug Reverted latest change IntroduceParameterObjectProcessor test failure Introduce Parameter Object Processor,good
Bug JavaCore create IFile full checks Java Core,good
Bug JarExporter Sync GILQD Jar Exporter,bad
Bug Ctrl outline work file editor read,bad
Bug quick assist Quick remove block,good
Bug quick qualified enum constants labels,good
Bug NPE org eclipse jdt internal javaeditor JavaEditor getSignedSelection Java Editor Signed Selection,bad
Bug call hierarchy Remove Hierarchy scope Call Hierarchy,good
Bug Unused imports prevent execution,bad
Bug quick NPE quick array fields,bad
Bug misc Dialogs remembering location open correct monitor,bad
Bug performance performance tests measure,bad
Bug render Javadoc view Open Declaration tooltip image link,good
Bug Jar export export java project jar manifest file,good
Bug build path project existing sources workspace,bad
Bug hashcode equals Generated equals invalid Object scope,bad
Bug implementation useless statement getAutoEditStrategies Auto Edit Strategies,good
Bug clean code style qualify field method parameter,good
Bug quick Add missing Override suggestions,bad
Bug Won export files jar,good
Bug Delete key Quick Outline text box deletes text editor,bad
Bug type wizards NewPackageWizardPage isCreatePackageDocumentation API Wizard Create Documentation,good
Bug nls tooling Messages java messages properties cases,good
Bug content assist Suspected regression CodeCompletionPerformanceTest testApplicationWithParamterGuesses test Code Completion Performance Test test Application Paramter Guesses,good
Bug misc Javadoc view stays empty browser widget,good
Bug Misspelling field UndoManager fOperationHistroy Undo Manager Operation Histroy,good
Bug content assist Overriding content assist suggestion closing brace generates invalid code,bad
Bug clean Clean doesn work warnings suppressed,good
Bug preferences Disabling enabling folding small file takes,bad
Bug refactoring preview bigger bigger,bad
Bug Deadlock arised calling JDIDebugModel createMethodEntryBreakpoint JDIDebug Model create Method Entry Breakpoint,bad
Bug Hover NPE Annotation visible classpath,bad
Bug Create Jar fails warning jar read,bad
Bug type hierarchy NPE type hierarchy view refactoring method,bad
Bug jar exporter export JAR project folder project workspace,good
Bug JUnit JUnit Test wizard confusing test,good
Bug nodes missing Java Model Synchronize view,bad
Bug JUnit sign Eclipse path NPE Classpath Variables preferences,bad
Bug build path NPE attaching source JAR,bad
Bug Confirm Delete dialog Delete subpackages focus,good
Bug implementation NPE DocumentAdapter Document Adapter,good
Bug misc deadlock PreferencesAdapter firePropertyChangeEvent Preferences Adapter fire Property Change Event,good
Bug typing Automatically close brace work properly,bad
Bug nls tooling Refactoring removes comments properties message key,bad
Bug explorer doesn inform user filters filter filters element,good
Bug explorer working sets dnd sorted drop target,good
Bug hovering Support showing Javadoc JavaFX properties Java,bad
Bug type hierarchy Widget disposed error type hierarchy computation,good
Bug RenameType Refactoring detected Rename Type,good
Bug quick assist exchange operands unavailable infix,good
Bug preferences Accept jsr build target,good
Bug render method content assist adornment,bad
Bug JUnit Rerun failed work JUnit,good
Bug NLS JavaEditor nlsed string job Java Editor,good
Bug NPE context Java Editor build path,good
Bug PropertiesFileQuickAssistTest testRemoveProperty testRemoveProperty failed Properties File Quick Assist Test test Remove Property test Remove Property,bad
Bug call hierarchy Refresh view selection empty,good
Bug explorer Remove filters Explorer removes filters,good
Bug JUnit test method cut,good
Bug build path VariableCreationDialog misleading layout Variable Creation Dialog,good
Bug Refresh Filter problem NullPointerException entering blank JAR selection dialog Pointer Exception,bad
Bug hovering Javadoc link doesn work attached info java,good
Bug model api Lambda IType API problems isLambda getElementName returns Lambda Element,good
Bug reorg Copy action add copy prefix,bad
Bug jar exporter save runnable jar export ant script relative saves eclipse program folder workspace,good
Bug compare NPE opening compare editor,good
Bug syntax highlighting Constructor method syntax highlighting inconsistent,good
Bug ClassCastException Java Search working Exception,good
Bug Types Refresh adds list entries java file browsing,good
Bug JUnit Test wizard Browse,good
Bug incorrect progress message search view,bad
Bug remove workaround code bug,bad
Bug implementation IOOBE OptionalMessageDialog buttonPressed Optional Message Dialog button Pressed,good
Bug preferences intuitive tab order editor preferences dialog,bad
Bug Failing test TypeHierarchyTest testHierarchyWithWorkingCopy TypeHierarchyTest java Type Hierarchy Test test Hierarchy Working Copy Type Hierarchy Test,good
Bug ccp Don select extension file paste,bad
Bug quick Failures TypeMismatchQuickFixTests IProblem ReturnTypeMismatch Type Mismatch Quick Tests Type Mismatch,good
Bug quick assist AIOOB exception Convert anonymous creation,bad
Bug build path Validating Javadoc url,good
Bug compare Invalid thread access JavaMergeViewer extracting method Java Merge Viewer,good
Bug JUnit Test JUnit,bad
Bug content assist Don create proposal computer sessionEnded Problem jdt TemplateProposalComputer closing Editor session Ended Template Proposal Computer,good
Bug build path javadoc location changed domain,good
Bug Inconsistent behavior virtual source folders,good
Bug JUnit Initialize JUnit container JUNIT doesn work bundle info,good
Bug implementation nls tooling DBCS Find Broken Externalized Strings handle constants CJK Ext,bad
Bug JUnit Test failure TestRunSessionSerializationTests testFailures Test Session Serialization Tests test Failures,good
Bug navigation Java file opens text selected,bad
Bug quick Infer Type Arguments,bad
Bug javadoc hovering Rendered Javadoc strip,bad
Bug preferences Restore Defaults duplicates list entries,bad
Bug preferences Mark Occurences enablement adhered,good
Bug preferences recommendations settings annotation based analysis enabled,good
Bug search view click type open search,good
Bug Adding packages update Java Browsing view browsing,good
Bug breadcrumb info java,good
Bug refactoring clean locked dialogs repeated Undos Java editor,bad
Bug hovering Report fallback mode Javadoc view hover SWT Browser widget,good
Bug Java Editors preference externalized values constant,good
Bug JUnit DBCS JUnit URL CJK Extension clipboard,bad
Bug typing Smart quotes problem,bad
Bug Sort Members IAE Comparison method violates general contract,good
Bug preferences Validate syntactic correctness annotation option settings,good
Bug IResource setDerived IProgressMonitor IResource setDerived Derived IProgress Monitor Derived,bad
Bug navigation JavaElementImplementationHyperlink work method declarations Java Element Implementation Hyperlink,good
Bug Minor cleanup JUnitLaunchConfigurationTab JUnit Launch Configuration Tab,good
Bug working sets Assign Working Explorer Top Level Elements Projects NPE,good
Bug misc Enabling mark occurences doesn work,bad
Bug Update ImportOrganizeTest FUP bug bug Organize Test,good
Bug implementation IllegalStateException reading spelling dictionary Illegal Exception,bad
Bug nls tooling Improve Properties file key navigation dialog multiple references,good
Bug javadoc export javadoc locale argument,good
Bug Test failures SurroundWithTests AllAllRefactoringTests Surround Tests Refactoring Tests,bad
Bug preferences Add options code formatter expose constant bug,good
Bug refactoring Refactoring warning modifying derived resources,good
Bug quick Add unimplemented methods add methods top hierarchy,good
Bug syntax highlighting syntax coloring enum type,good
Bug Encoding Support Java editor broken,good
Bug hovering NPE JavadocHover annotation primitive type Javadoc Hover,good
Bug Handle TypeParameter annotations change modifiers Type Parameter,good
Bug jres Execution Environments preference updated JRE addition,good
Bug Source hover affordance text black,bad
Bug Update callers ASTNodes getType VariableDeclaration handle type inferred lambda parameter Type Variable Declaration,good
Bug Wrong capitalized filters message search,bad
Bug projection ProjectionViewer Toggling segmented projection mode fail Projection Viewer,good
Bug clean Save Actions doesn add override annotation method implementations Java,good
Bug call hierarchy Selecting element callee hierarchy reveals wrong editor location,good
Bug Project Explorer ExtensionState applied Extension,bad
Bug spell checking Spell check range,good
Bug actions Menu bar Navigate enabled popup,good
Bug Extract merge string literal escaping,bad
Bug Internal code ICompilationUnit applyTextEdit ICompilation Unit apply Text Edit,bad
Bug type wizards Main Method Stub Check Box Wizard Stays Checked Time Loads,good
Bug nls tooling positives navigating key properties file editor Java editor,good
Bug Effects SuppressWarnings unchecked broader Eclipse javac Suppress Warnings,bad
Bug JUnit JUnit library container resolve binary imported org hamcrest core,good
Bug Jobs longer responsive pressing ctrl,bad
Bug content assist Missing check,bad
Bug NPE FileSpec File Spec,bad
Bug implementation JavadocHover logs incomplete message Javadoc Hover,good
Bug Lambda code formatter options,good
Bug hovering exist hovering Javadoc method fake,bad
Bug NPE content assist compare,bad
Bug perfs Comments applied JDT Text performance tests obsolete,bad
Bug hashcode equals feature working hashcode equals Wizard blocks,good
Bug perfs Comments applied JDT performance tests obsolete,bad
Bug Clean Refactoring report file caused exception Eclipse code formatter crashes exception handling character encoding,bad
Bug typing Indentation broken enhanced loop,good
Bug Add implemented methods type annotations,good
Bug quick quick assist Replace integer literals relevance constants,good
Bug compiler Bad syntax error insert IdentifierOrNew missing semicolon Identifier,good
Bug spell checking preferences Spell checking works report problems type enabled,bad
Bug preferences Add support target compiler preference,good
Bug navigation Status loses annotation text selection,good
Bug actions Override Implement dialog size position saved,good
Bug key binding Shortcut Open Declaration doesn context menu Java Editor,good
Bug code tag prepended space,good
Bug hovering Spelling quick Ignore current session update editor hover,good
Bug typing Smart replace selection,bad
Bug ccp Canceling file copy operation error,bad
Bug JUnit Importing URL doesn connection working doesn cancel,good
Bug quick Quick fail update method comment,bad
Bug Test failures PackageJavadocTests Javadoc Tests,good
Bug typing IndentAction Pressing Tab document IAE Indent Action,good
Bug implementation Leak Java Editor preference listener SmartTypingConfigurationBlock Smart Typing Configuration Block,good
Bug Browser Perspective project doesn project view,bad
Bug build path button Inclusion Exclusion Patterns wizard work,good
Bug build path editing user library properties drops classpath entry attributes,good
Bug common navigator Java model hiding parent folders sync view,bad
Bug JUnit Opening JUnit view loads preference,good
Bug misc Editor create working copy deleted resource,good
Bug preferences JUnit newly launched test JUnit views stored,good
Bug Javadoc View inserts wrong asterisk link linebreak,bad
Bug JUnit view showing BeforeClass exception single test,bad
Bug working sets Assign Working pre fill selected elements,bad
Bug extract local Extract Local ArrayIndexOutOfBoundsException Array Bounds Exception,bad
Bug implementation NPE editing javadoc comment,bad
Bug Keybinding focus javadoc editor,bad
Bug templates template block,bad
Bug Ctrl Filters persistent view menu,good
Bug OpenAction select ITypeParameter Open Action IType Parameter,bad
Bug actions Add marks editor unsaved,bad
Bug compare Quick views stay compare editor,good
Bug render Strange rendering problem abbreviation pattern,good
Bug refactoring Handler conflicts refactoring previews,bad
Bug quick assist extract method Calling extract method selection,good
Bug Fup bug add formatter option number blank lines groups,good
Bug Bindings containsTypeVariables ITypeBinding type unused code Type Variables IType Binding,good
Bug Deleting member Members view working,good
Bug ImagesOnFileSystemRegistry thread safe Images File System Registry,good
Bug content assist Overwrite mode rendered filtering proposals,bad
Bug rename Rename method fails create method handle,bad
Bug ltk PerformChangeOperation ISchedulingRule Perform Change Operation IScheduling Rule,good
Bug working sets Projects label starting locale,good
Bug open type Open Type dialog JRE libraries identical text,bad
Bug quick assist Join declaration quick removes comments declaration assignment,good
Bug refactoring DynamicValidationStateChange valid minutes Dynamic Validation Change,good
Bug search wrong condition warning references inlined constant,good
Bug quick Wrong quick fixes type visible,bad
Bug Replace conditional removes comment,good
Bug Java Project wizard Java Compiler property misleading,good
Bug content assist Missing Getter Setter code assist proposals,bad
Bug content assist Proposal replace leading chars selection,bad
Bug javadoc wizard Generating Javadoc CUs UTF names fails Windows,good
Bug NPE ASTProvider reconciled,good
Bug perfs Comments applied performance tests obsolete,bad
Bug hashcode equals Remove unnecessary warning hashcode equals generator,good
Bug bidi processing glitch CodeTemplateContextType Code Template Context Type,good
Bug explorer context menu empty selection,bad
Bug Problem hover Link text cut OSes fonts,good
Bug build path Compiler Compliance follow Execution Environment,good
Bug Properties File Editor doesn QuickDiff hovers Quick Diff,good
Bug TextMergeViewer createSourceViewer SourceViewer Text Merge Viewer create Source Viewer Source Viewer,good
Bug Support source attachment encoding classpath entry level,good
Bug templates SWT proposal computer findType call find Type,good
Bug Assertion failed NLS search nls search,bad
Bug quick assist Pick selected string tests,bad
Bug refactoring Rename Method refactoring breaks lambda,good
Bug working sets click add element working,good
Bug Change CommonDropAdapter method call Common Drop Adapter,good
Bug typo modfier code,bad
Bug code templates Java Code Templates properties Restore Defaults removes nodes,good
Bug rulers Quick invoked warning error vertical ruler,good
Bug working doesn Working List,bad
Bug dnd Element reordering DnD format field comments,bad
Bug misc Mark Occurrences exceptions types inconsistent,good
Bug Editor icon problem decoration instance,bad
Bug Checkbox wrongly enabled Clean preference,good
Bug syntax highlighting Highlight enclosing brackets massive performance problems,good
Bug Configure Working Sets Dialog sort checkbox dialog font,good
Bug Constructor inlining produces illegal result,bad
Bug search NPE search method declaration,bad
Bug build path Dialog telling output folder deletion improved,good
Bug search Inexact Type Arguments filter showing filtered,good
Bug misc Quick Outline override indicators decorator disabled,good
Bug navigation hyperlink modifier key,good
Bug compare wrong caret side,bad
Bug jar exporter Runnable JAR Export problem special characters included JAR JAR filenames,bad
Bug browsing JavaBrowsingPart clearing fPreveiousSelectionProvider Java Browsing Preveious Selection Provider,bad
Bug longer responsive sorting search matches,good
Bug quick visibility issues,good
Bug performance Opening file editor compute overriding indicators,bad
Bug type hierarchy Exception occurred listener Type hierarchy change notification,good
Bug breadcrumb Java projects simple projects,good
Bug Javadoc content content assist info window constructors,bad
Bug ASTs JLS,good
Bug extract method CCE ExtractMethodRefactoring createMethodBody Extract Method Refactoring create Method Body,good
Bug formatting comment formatter leaves whitespace comments,bad
Bug type wizards generate main method stub ignores generate comments setting,good
Bug content assist Context completion method,good
Bug ltk Refactoring history workspace refactorings year,bad
Bug hover message bookmarks overview ruler,bad
Bug CheckedListDialogField unconventional method setting table style Checked List Dialog Field,good
Bug bug breaks JDT Refactoring test,good
Bug explorer Configure strange working assignment dialog,good
Bug javadoc wizard Generate Javadoc generated javadoc arguments temp file,good
Bug encapsulate field Encapsulate field introduces methods compilation errors,bad
Bug Javadoc method type parameters generated Ignore method type parameters disabled,bad
Bug change method signature SWTException Widget disposed Change method signature,bad
Bug misc File Editor source message wrap,good
Bug clean Clean wizard space ugly,good
Bug Source tabs cleared project closed,bad
Bug Fails Explorer Java project,bad
Bug search search button disabled Search checkboxes cleared,good
Bug Java Search actions shouldn enabled folder selected packages view,bad
Bug misc Wrong message displayed opening file classapth,bad
Bug build path user library dialog select JAR workspace,good
Bug Bug NLSSearchQuery NLSSearch Query,good
Bug quick Invalid thread access quick,bad
Bug build path Java Project dialog radios parent,bad
Bug content assist Applying proposal content assist history unresolved type,good
Bug Graphics Scaling issues high DPI displays,bad
Bug navigation Explorer,bad
Bug content assist Wrong post qualification constructor anonymous type completion,good
Bug introduce indirection wizard wrong path classes target,good
Bug extract constant Refactoring pop selected string annotation,bad
Bug Unable reference virtual folder Java source attachment path,good
Bug move method Move refactoring produce duplicate methods refactoring,bad
Bug inheritedoc consistently rendered,bad
Bug hovering hovering multiple hyperlinks multiple location build path,bad
Bug correct indentation messes comment boxes,bad
Bug nls tooling flagged missing NLS key,bad
Bug Enable compiler compliance,good
Bug refesh JavaElementSorter Java Element Sorter,bad
Bug Remove duplicate creation comparator WorkingSetConfigurationDialog Working Configuration Dialog,good
Bug file incorrect content,bad
Bug extract method Refactor Extract Method statement NPE,good
Bug Clicking Cancel External Annotations Attachment dialog deletes existing,good
Bug templates TemplateProposals API marked deprecated Template Proposals,bad
Bug content assist Constructor completion ignores type completing type arguments,bad
Bug preferences content assist Auto activation delay mention unit time,bad
Bug reconciling Organize Imports selected error,bad
Bug ltk file folder exist empty input resource rename dialog,bad
Bug compare Compare local history reverts dirty editor,bad
Bug working sets explorer Working sets resorted,good
Bug NLS tool values displayed correctly,bad
Bug ccp dnd Minor Copy Paste issues,bad
Bug JUnit Launching JUnit view dirty editors save prompts,good
Bug preferences clean ICleanUpConfigurationUI parent Composite excess margins IClean Configuration,good
Bug misc Editor opened sync resource refresh action,good
Bug StringMatcher bug matches String Matcher,good
Bug add API IProblem isInfo Info,good
Bug search broken code SearchLabelProvider getParticipantImage Object Search Label Provider Participant Image,good
Bug navigation Open Type hyperlink type,good
Bug explorer broken code PackageExplorerContentProvider findAddedElement IJavaElementDelta Explorer Content Provider find Element IJava Element Delta,good
Bug toolbar button tool tips read screen reader,bad
Bug Press focus work spell checking hovers,bad
Bug common navigator Drag Java object Project Explorer Explorer assertion failed,good
Bug RepositoryProvider isShared problems closed projects API Repository Provider Shared,good
Bug browsing implementation NPE starting eclipse Java Browsing Perspective,bad
Bug ITypeBinding canAssign aware type boxing IType Binding Assign,bad
Bug compare common navigator duplicate model compare folder source folder,bad
Bug navigation Open Implementation hyperlink overridable methods,good
Bug nls NLS key tab search dialog window,bad
Bug quick assist Remove extra parenthesis removes comment,good
Bug type hierarchy invoking Quick Type Hierarchy declarations yields error,good
Bug refactoring Extract Local Variable Constant don find matching invocations methods,bad
Bug ltk DeleteResourceChange resource deleted Delete Resource Change,good
Bug compare NPE log opening Java compare editor breadcrumbs enabled,bad
Bug ltk junit framework ComparisonFailure Unexpected failure Comparison Failure,bad
Bug ccp ReorgPolicies canEnable methods Reorg Policies Enable,bad
Bug inline Inline constant IAE bounds,bad
Bug search Custom search hierarchically java search view,good
Bug inline quick assist Delete key work Inline local variable,bad
Bug Config dialog Generate Doc Wizard bad,bad
Bug build path nested source folder build path rendered lib icon,bad
Bug Source Hover oszillates,bad
Bug Java member types implicitly consistent icons,good
Bug Add quick Duplicate methods error,good
Bug type hierarchy Type Hierarchy View button bar painting issues workspace startup,good
Bug jar exporter ANT file Jar Jar option relative path jar rsrc loader zip,good
Bug Javadoc keywords settings longer work Java Editor,bad
Bug Mark Occurrences annotation text interesting Tooltip Description,bad
Bug clean memory error Source Cleanup,bad
Bug Unable ignore files filters,bad
Bug JUnit view leaks Colors,bad
Bug hovering Javadoc hovers don annotations constructors,good
Bug clicking Types view refreshes decorators,bad
Bug comparator errors files,bad
Bug build path Dialog extend classpath variable slow,bad
Bug perfs Regression Rename method overloading test,good
Bug StringMatcher match extension String Matcher,good
Bug search Search result filters persisted,good
Bug type wizards Java wizard incorrect warning message,good
Bug compare Toggle comment noisy diff Compare editor,bad
Bug content assist Code conpletion doesn choose correct collection,bad
Bug nls tooling Hyperlink properties file key doesn work projects,good
Bug navigation Open Implementation work methods seamlessly,bad
Bug hovering text Javadoc hover view visible Ubuntu,bad
Bug create paste Paste Working work,good
Bug clean Internal error configured profiles multiple projects,bad
Bug performance Regression performance test PackageExplorerColdPerfTest testOpen Explorer Cold Perf Test test Open,good
Bug preferences syntax coloring Preview incorrect parameter variables setting,good
Bug breadcrumb Opening file breadcrumb retarget status,good
Bug toString dialog center widgets String,good
Bug Missing styling Java project wizard,bad
Bug implementation Java editor disposes StyledText caret image Styled Text,bad
Bug common navigator Java Elements content extension Java projects Project Explorer,good
Bug actions Javadoc view Open Attached Javadoc External Browser open URL,good
Bug quick Extract field access checked local variable,good
Bug Classfile editor source attachment option classes folders,good
Bug preferences Incorrect enablement Inline blocks preference option,bad
Bug Test failure org eclipse jdt tests refactoring ccp CopyToClipboardActionTest testEnabled Copy Clipboard Action Test test Enabled,bad
Bug outline applying filters freezed ide large files filters,good
Bug search JavaElementLine crashes ArrayIndexOutOfBoundsException EOF encountered Java Element Array Bounds Exception,good
Bug move method Move single function interfaces work,bad
Bug ccp progress monitor rename prompt copy pasting file,bad
Bug navigation Word complete,bad
Bug junit interesting warning JUnitPropertyTester JUnit Property Tester,good
Bug convert anonymous store settings,good
Bug API needed Combo items visible,good
Bug CVS decorators broken JavaElementResourceMapping Java Element Resource Mapping,good
Bug inline Refactor Inline fails parenthesize replaced arguments,bad
Bug JUnit JUnit view active test,good
Bug render External chained jars correctly displayed,bad
Bug call hierarchy Wrong behavior Expand Constructors multi selection parent child,good
Bug encapsulate field encapsulate field refactoring fails splitted array type,good
Bug navigation Java element hyperlink imports declarations,bad
Bug JUnit JUnit JDT installed dropin,good
